Date : 2024-04-20 00:01:04
Directory : c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat
Total : 85 files,  25814 codes, 285 comments, 1545 blanks, all 27644 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\pom.xml                                                                        | XML             |         73 |          2 |          5 |         80 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\qodana.yaml                                                                    | YAML            |          5 |         19 |          8 |         32 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\GioHangEnityManager.java                    | Java            |         44 |          0 |          7 |         51 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\HibernateUtils.java                         | Java            |         20 |          3 |          6 |         29 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\HoaDonEnityManager.java                     | Java            |         44 |          0 |          7 |         51 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\MonAnEnityManager.java                      | Java            |         44 |          0 |          7 |         51 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\NguoiDungEntityManager.java                 | Java            |         44 |          0 |          8 |         52 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\GioHangEntity.java                        | Java            |         80 |          0 |         22 |        102 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\HoaDonEntity.java                         | Java            |        102 |          1 |         26 |        129 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\MonAnEntity.java                          | Java            |         94 |          0 |         24 |        118 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\NguoiDungEntity.java                      | Java            |        143 |          0 |         36 |        179 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\CheckDataBaseServlet.java               | Java            |         60 |          1 |         10 |         71 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\AddFoodServlet.java                | Java            |         49 |          2 |         11 |         62 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\DeleteFoodServlet.java             | Java            |         31 |          0 |          8 |         39 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\Food\UpdateFoodServlet.java             | Java            |         73 |          2 |         17 |         92 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LoginServlet.java                       | Java            |         83 |          0 |         13 |         96 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LogoutServlet.java                      | Java            |         16 |          0 |          5 |         21 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\RegisterServlet.java                    | Java            |          3 |          0 |          2 |          5 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\AddUserServlet.java                | Java            |         54 |          2 |         10 |         66 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\DeleteUserServlet.java             | Java            |         28 |          0 |          8 |         36 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\UpdateUserServlet.java             | Java            |         83 |          2 |         21 |        106 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\UpdateUserServletForAdminPage.java | Java            |         96 |          2 |         28 |        126 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\bill\AddBillServlet.java                | Java            |         51 |          1 |         13 |         65 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\AddCartServlet.java                | Java            |         60 |          0 |         15 |         75 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\DeleteCartServlet.java             | Java            |          3 |          0 |          2 |          5 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\UpdateCartServlet.java             | Java            |          3 |          0 |          2 |          5 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\GioHangEntity.hbm.xml                                       | XML             |         25 |          0 |          3 |         28 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\HoaDonEntity.hbm.xml                                        | XML             |         33 |          0 |          1 |         34 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\META-INF\beans.xml                                          | XML             |          6 |          0 |          1 |          7 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\META-INF\persistence.xml                                    | XML             |         17 |          0 |          1 |         18 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\MonAnEntity.hbm.xml                                         | XML             |         33 |          0 |          1 |         34 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\NguoiDungEntity.hbm.xml                                     | XML             |         48 |          0 |          2 |         50 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\hibernate.cfg.xml                                           | XML             |         25 |          0 |          1 |         26 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\WEB-INF\web.xml                                                | XML             |          6 |          0 |          0 |          6 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\cta.css                                                    | CSS             |         65 |          5 |         12 |         82 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\customerPageCss\boughtHistory.css                          | CSS             |        118 |          3 |         32 |        153 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\customerPageCss\foodDetail.css                             | CSS             |        117 |          1 |         25 |        143 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\customerPageCss\informationForm.css                        | CSS             |        200 |         17 |         43 |        260 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\customerPageCss\menuPage.css                               | CSS             |        143 |          5 |         39 |        187 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\customerPageCss\paymentOderPage.css                        | CSS             |        163 |          5 |         40 |        208 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\footer.css                                                 | CSS             |         61 |          0 |         12 |         73 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\header.css                                                 | CSS             |         58 |          3 |         11 |         72 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\CTA.css                                            | CSS             |         66 |         27 |         13 |        106 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\hero.css                                           | CSS             |         44 |          1 |          9 |         54 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\login.css                                          | CSS             |         95 |          0 |         15 |        110 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\pricing.css                                        | CSS             |         91 |          1 |         18 |        110 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\queries.css                                        | CSS             |        252 |         16 |         80 |        348 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\section.css                                        | CSS             |        169 |          5 |         41 |        215 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\homeCss\testimonials.css                                   | CSS             |         49 |          2 |         12 |         63 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\addFood.css                                 | CSS             |        147 |          2 |         25 |        174 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\addUser.css                                 | CSS             |        156 |          2 |         28 |        186 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\changeFood.css                              | CSS             |        117 |          1 |         21 |        139 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\changeUser.css                              | CSS             |        136 |          1 |         27 |        164 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\deleteFood.css                              | CSS             |        104 |          1 |         23 |        128 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\deleteUser.css                              | CSS             |        104 |          1 |         23 |        128 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\menuManagement.css                          | CSS             |         18 |          0 |          4 |         22 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\managerPageCss\userManagement.css                          | CSS             |        144 |          5 |         37 |        186 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\css\style.css                                                  | CSS             |        153 |          4 |         39 |        196 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\customerBoughtHistory.jsp                                      | HTML            |        158 |          0 |         27 |        185 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\customerIndex.jsp                                              | HTML            |        549 |          4 |         67 |        620 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\customerInfomationPage.jsp                                     | HTML            |        294 |          8 |         41 |        343 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\index.jsp                                                      | HTML            |        548 |          4 |         67 |        619 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\customerInfomationPage.js                                   | JavaScript      |         25 |          1 |          7 |         33 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\customerPage.js                                             | JavaScript      |         40 |          5 |         10 |         55 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\menuManagerPage.js                                          | JavaScript      |        114 |         25 |         29 |        168 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\script.js                                                   | JavaScript      |         41 |          4 |         13 |         58 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\userManagerPage.js                                          | JavaScript      |        145 |         25 |         37 |        207 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\managerIndex.jsp                                               | HTML            |        548 |          4 |         67 |        619 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuManagement.jsp                                             | HTML            |        362 |          4 |         55 |        421 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuPage.jsp                                                   | HTML            |        229 |          0 |         34 |        263 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\paymentOrderPage.jsp                                           | HTML            |        164 |          0 |         30 |        194 |
| c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\userManagement.jsp                                             | HTML            |        384 |          5 |         65 |        454 |
| Total                                                                                                                            |                 |     25,814 |        285 |      1,545 |     27,644 |
+----------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
